Task,Metrics,Rhythm,Fold-1,Fold-2,Fold-3,Fold-4,Fold-5,Fold-6,Fold-7,Fold-8,Average,Std
arousal,Accuracy,beta,0.48750001192092896,0.5062500238418579,0.49074074625968933,0.510879635810852,0.5009258985519409,0.4962962865829468,0.5076388716697693,0.49004629254341125,0.49878472089767456,0.008363618853068713
dominance,Accuracy,beta,0.5002315044403076,0.5175926089286804,0.5094907283782959,0.5046296119689941,0.5164352059364319,0.49328702688217163,0.44212964177131653,0.5083333253860474,0.4990162067115307,0.022767632170587648
valence,Accuracy,beta,0.5074074268341064,0.49004629254341125,0.5074074268341064,0.5136573910713196,0.4895833432674408,0.5018518567085266,0.5131944417953491,0.5069444179534912,0.5037615746259689,0.00877780841123111
